Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPPRD500W65D1000H1300,1,470μF,
"C2, C5",0603,2,0.1μF,
C4,CP_Radial_D8.0mm_P3.50mm,1,100μF,
D1,LED_D5.0mm,1,5V抵抗内蔵LED,
"D2, D3, D4, D5, D6, D7",LED_D5.0mm,6,LED,
D8,TO255P480X1000X2050-3P,1,MBR3045FCT,
F2,FUSE_3557-15,1,3557-15,
J1,AMASS_XT90PW-M_1x02_P10.90mm_Horizontal,1,Conn_01x02_Pin,
J15,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J16,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,デジタル電圧計(測定),
J17,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,デジタル電圧計(電力供給),
"J2, J3, J4, J5, J6",PinHeader_1x04_P2.54mm_Vertical,5,Conn_01x04_Pin,
"R10, R11, R12, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10Ω,
R13,R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,1,0.33Ω(熱くなります。基板取り付け時は地面から離しましょう),
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470Ω,
SW1,AMASS_XT90PW-M_1x02_P10.90mm_Horizontal,1,SW_SPST,
SW2,3MS1J102M2QES,1,SW_SPDT,
U1,LMR,1,DCDC,
