Designator,Footprint,Quantity,Value,LCSC Part #
C3,0603,1,0.1μF,
D15,LED_D5.0mm,1,5V抵抗内蔵LED,
"D2, D7",LED_D5.0mm,2,BLUELED,
"D3, D4",LED_D5.0mm,2,GREENLED,
"D5, D6",LED_D5.0mm,2,REDLED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,ジョイスティック,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
"J3, J5, J6",PinHeader_1x05_P2.54mm_Vertical,3,Conn_01x05_Pin,
J4,PinHeader_1x05_P2.54mm_Vertical,1,1F接続,
"R10, R11, R12, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10Ω,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470Ω,
"SW1, SW2, SW3, SW4",TVGP01G73BB,4,SW_Push,
SW5,3MS1J102M2QES,1,SW_SPDT,
