Designator,Mid X,Mid Y,Rotation,Layer
C3,185.5,-98.0,0.0,top
D15,122.215,-69.73,90.0,top
D2,146.0,-69.73,90.0,top
D3,162.5,-69.73,90.0,top
D4,170.5,-69.73,90.0,top
D5,138.215,-69.77,90.0,top
D6,130.215,-69.73,90.0,top
D7,154.0,-69.77,90.0,top
J1,94.2,-96.35,0.0,top
J2,122.24,-96.38,0.0,top
J3,148.3,-63.9,90.0,top
J4,84.75,-91.869,0.0,top
J5,150.55,-114.45,90.0,top
J6,211.95,-91.59,0.0,top
R10,152.25,-82.55,270.0,top
R11,147.55,-82.55,270.0,top
R12,142.9,-82.55,270.0,top
R7,135.0,-82.55,90.0,top
R8,139.6,-82.55,90.0,top
R9,157.0,-82.55,270.0,top
SW1,185.5,-84.25,90.0,top
SW2,171.0,-99.0,90.0,top
SW3,187.0,-113.0,270.0,top
SW4,201.5,-98.75,90.0,top
SW5,201.0,-74.8,180.0,top
