Designator,Mid X,Mid Y,Rotation,Layer
C1,65.5,-137.0,180.0,top
C2,84.0,-186.0,0.0,top
C4,54.5,-141.25,90.0,top
C5,61.5,-162.0,90.0,top
D1,118.0,-19.23,90.0,top
D2,111.5,-19.23,90.0,top
D3,98.5,-19.455,90.0,top
D4,92.0,-19.495,90.0,top
D5,85.5,-19.455,90.0,top
D6,79.0,-19.455,90.0,top
D7,105.0,-19.23,90.0,top
D8,89.0,-182.45,90.0,top
F2,99.0,-155.0,90.0,top
J1,106.5,-187.0,0.0,top
J15,63.73,-19.5,270.0,top
J16,124.0,-168.25,270.0,top
J17,124.0,-159.75,270.0,top
J2,111.0,-37.27,180.0,top
J3,50.5,-182.73,0.0,top
J4,56.27,-99.5,90.0,top
J5,124.5,-183.23,0.0,top
J6,106.825,-39.0,180.0,top
R10,94.0,-33.5,270.0,top
R11,97.45,-33.5,270.0,top
R12,101.0,-33.5,270.0,top
R13,52.0,-159.0,90.0,top
R7,74.5,-33.5,90.0,top
R8,78.0,-33.5,90.0,top
R9,81.0,-33.5,270.0,top
SW1,68.5,-186.9,0.0,top
SW2,119.5,-36.7,180.0,top
U1,74.52,-171.345,180.0,top
