Designator,Mid X,Mid Y,Rotation,Layer
C1,95.65,-68.7,180.0,top
C10,95.25,-73.45,180.0,top
C11,121.862,-75.5,0.0,top
C12,121.887,-77.1,0.0,top
C13,121.887,-78.7,0.0,top
C14,119.462,-79.45,270.0,top
C2,95.65,-66.6,180.0,top
C3,95.65,-64.55,180.0,top
C4,105.2,-64.6,0.0,top
C5,105.1,-66.5,0.0,top
C6,105.95,-73.55,0.0,top
C7,96.95,-79.9,0.0,top
C8,96.95,-78.35,0.0,top
C9,106.0,-75.35,180.0,top
J1,100.95,-57.975,0.0,top
J2,115.65,-57.975,0.0,top
L1,115.7,-68.7,0.0,top
R1,95.275,-75.0,0.0,top
R2,95.3,-76.55,180.0,top
R3,106.0,-76.9,180.0,top
R4,106.0,-78.45,180.0,top
R5,102.5,-79.45,90.0,top
R6,99.35,-79.45,90.0,top
R7,100.95,-79.45,90.0,top
R8,105.075,-68.1,0.0,top
R9,115.65,-76.05,0.0,top
U1,100.196001,-73.1,0.0,top
