Designator,Mid X,Mid Y,Rotation,Layer
C1,175.5,-46.0,90.0,top
C11,254.097349,-91.5,0.0,top
C2,199.0,-88.0,0.0,top
C4,185.0,-45.902651,90.0,top
C5,189.525,-50.5,0.0,top
C6,171.0,-104.0,90.0,top
C7,176.5,-101.25,90.0,top
C8,182.25,-104.025,90.0,top
C9,261.847349,-141.75,0.0,top
D1,175.5,-127.99,90.0,top
D2,165.96,-128.005,90.0,top
D8,186.45,-100.335,0.0,top
F2,188.0,-112.75,90.0,top
J1,184.0,-142.45,90.0,top
J2,166.0,-46.5,90.0,top
J22,263.0,-95.475,0.0,top
J23,263.0,-102.5,0.0,top
J26,265.0,-152.25,270.0,top
J27,265.0,-131.75,270.0,top
J28,262.75,-34.475,0.0,top
J3,165.975,-38.0,90.0,top
J30,265.0,-65.5,270.0,top
J4,263.25,-121.975,0.0,top
J5,263.0,-109.5,0.0,top
MD1,176.575,-113.312488,0.0,top
PS1,182.44,-37.75,180.0,top
R1,176.5,-123.0,180.0,top
R13,188.0,-63.0,90.0,top
R2,167.25,-117.67,90.0,top
R3,167.25,-105.17,90.0,top
SW1,183.4,-85.75,90.0,top
U1,191.095,-61.48,270.0,top
U2,263.36,-106.94,270.0,top
U3,231.11,-106.95,270.0,top
U4,185.39,-83.05,90.0,top
U5,217.64,-83.06,90.0,top
