Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
C3,CP_Radial_D5.0mm_P2.00mm,1,47u,
"D10, D11, D12, D13, D3, D4, D5, D6, D7, D9",UCLAMP3381PTFT,10,UCLAMP3381P.TFT,
IC1,DIP794W56P254L3486H508Q28N,1,MCP23017-E_SP,
J10,PinSocket_1x07_P2.54mm_Vertical,1,Memory,
"J11, J7",PinSocket_1x04_P2.54mm_Vertical,2,BNO055,
J12,PinSocket_1x07_P2.54mm_Vertical,1,"Temperature, pressure, and altitude sensor",
J13,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J14, J15, J16, J17, J18, J21, J24, J25",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,8,Conn_01x04_Pin,
J19,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,
J20,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
J30,JST_XH_B20B-XH-A_1x20_P2.50mm_Vertical,1,Conn_01x20_Pin,
J6,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"J8, J9",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,75,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
"R4, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,330,
"R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10,
S1,ST12303FCG,1,ST12-303FCG,
