Designator,Mid X,Mid Y,Rotation,Layer
_2,175.05,-131.6,90.0,top
,157.05,-131.6,90.0,top
A1,186.36,-73.485,0.0,top
C3,127.4,-69.65,180.0,top
D10,122.025,-57.15,90.0,top
D11,122.025,-53.9,90.0,top
D12,220.125,-110.7,90.0,top
D13,220.175,-107.75,90.0,top
D3,166.35,-92.1,0.0,top
D4,163.4,-92.1,0.0,top
D5,136.398,-67.025,180.0,top
D6,132.45,-67.025,180.0,top
D7,169.55,-52.75,270.0,top
D9,169.575,-50.0,270.0,top
IC1,184.109,-119.65,0.0,top
J10,192.77,-118.95,0.0,top
J11,252.68,-121.6,270.0,top
J12,185.76,-145.525,90.0,top
J13,230.52,-127.19,0.0,top
J14,130.75,-52.5,0.0,top
J15,161.0,-52.5,0.0,top
J16,130.75,-61.0,0.0,top
J17,164.5,-139.625,180.0,top
J18,162.35,-96.825,0.0,top
J19,230.1,-90.07,0.0,top
J20,266.5,-92.53,0.0,top
J21,145.5,-52.475,0.0,top
J24,145.5,-61.0,0.0,top
J25,161.75,-61.0,0.0,top
J30,119.5,-85.5,90.0,top
J6,199.05,-131.92,0.0,top
J7,252.72,-129.45,90.0,top
J8,200.68,-106.61,180.0,top
J9,224.2,-106.64,0.0,top
R10,141.5,-71.65,90.0,top
R11,166.75,-71.52,270.0,top
R4,145.25,-71.65,270.0,top
R5,148.75,-71.65,270.0,top
R6,152.25,-71.65,270.0,top
R7,163.5,-71.6,270.0,top
R8,160.25,-71.6,270.0,top
R9,157.0,-71.6,270.0,top
S1,131.0,-81.0,90.0,top
